np_name,np_name_adj,domain
THE STAR,the star,
"THE STAR, ANNISTON","the star, anniston",
THE NEWS -COURIER,the news -courier,
THE BIRMINGHAM NEWS/POST HERALD,the birmingham news/post herald,
THE BIRMINGHAM NEWS,the birmingham news,
BIRMINGHAM POST HERALD,birmingham post herald,
THE CULLMAN TIMES,the cullman times,
THE DECATUR DAILY,the decatur daily,
DOTHAN EAGLE,dothan eagle,
FLORENCE TIMES DAILY,florence times daily,
THE GADSDEN TIMES,the gadsden times,
THE HUNTSVILLE TIMES,the huntsville times,
JASPER DAILY MOUNTAIN EAGLE,jasper daily mountain eagle,
JASPER DAILY MOUTAIN EAGLE,jasper daily moutain eagle,
MOBILE REGISTER (MORNING & SUNDAY),mobile register (morning & sunday),
PRESS-REGISTER,press-register,al.com
PRESS-REGISTER (MORNING & SUNDAY),press-register (morning & sunday),al.com
PRESS-REGISTER - THE MISSISSIPPI PRESS,press-register - the mississippi press,
MONTGOMERY ADVERTISER,montgomery advertiser,
OPELIKA-AUBURN NEWS,opelika-auburn news,
THE TUSCALOOSA NEWS,the tuscaloosa news,
ALASKA DISPATCH NEWS - COMMUNITY XTRA!,alaska dispatch news - community xtra!,
ALASKA DISPATCH NEWS,alaska dispatch news,
ANCHORAGE DAILY NEWS,anchorage daily news,adn.com
FAIRBANKS DAILY NEWS-MINER,fairbanks daily news-miner,
ARIZONA DAILY SUN,arizona daily sun,
MOHAVE VALLEY DAILY NEWS,mohave valley daily news,
CASA GRANDE DISPATCH,casa grande dispatch,
EAST VALLEY TRIBUNE,east valley tribune,eastvalleytribune.com
THE ARIZONA REPUBLIC,the arizona republic,azcentral.com
THE ARIZONA REPUBLIC - YES!,the arizona republic - yes!,azcentral.com
THE DAILY COURIER,the daily courier,
DAILY NEWS-SUN,daily news-sun,
ARIZONA DAILY STAR,arizona daily star,tucson.com
ARIZONA DAILY STAR/TUCSON CITIZEN,arizona daily star/tucson citizen,tucson.com
TUCSON CITIZEN,tucson citizen,
THE SUN,the sun,
THE BENTON COURIER,the benton courier,
