source_mic,own_city_mic,own_state_mic,own_county_mic
abilene reporter-news,abilene,tx,taylor
advocate,baton rouge,la,east baton rouge
aegis,bel air,md,harford
"akron beacon journal, sunday akron journal",akron,oh,summit
alamogordo daily news,alamogordo,nm,otero
albany democrat-herald,albany,or,linn
albuquerque journal,albuquerque,nm,bernalillo
amarillo globe-news,amarillo,tx,potter
anderson independent-mail,anderson,sc,anderson
anniston star,anniston,al,calhoun
arizona daily star,tucson,az,pima
arkansas democrat gazette,little rock,ar,pulaski
athens banner-herald,athens,ga,clarke
atlanta journal-constitution,atlanta,ga,dekalb
augusta chronicle,augusta,ga,richmond
austin american-statesman,austin,tx,travis
bakersfield californian,bakersfield,ca,kern
bangor daily news,bangor,me,penobscot
baraboo news republic,baraboo,wi,sauk
bay city times,bay city,mi,bay
beaufort gazette,beaufort,sc,beaufort
beaumont enterprise,beaumont,tx,jefferson
beaver county times,beaver,pa,beaver
belleville news-democrat,belleville,il,st. clair
bellingham herald,bellingham,wa,whatcom
billings gazette,billings,mt,yellowstone
bismarck tribune,bismarck,nd,burleigh
blade,toledo,oh,lucas
bluefield daily telegraph,bluefield,wv,mercer
"boston herald, boston sunday herald",boston,ma,suffolk
bradenton herald,bradenton,fl,manatee
bristol herald courier,bristol,va,none
brownsville herald,brownsville,tx,cameron
bucks county courier times,bucks county (levittown p.o.),pa,bucks
buffalo news,buffalo,ny,erie
burlington county times,burlington county (willingboro p.o.),nj,burlington
butler eagle,butler,pa,butler
call,woonsocket,ri,providence
cape cod times sunday cape cod times,barnstable county (hyannis p.o.),ma,barnstable
capital,annapolis,md,anne arundel
carlsbad current-argus,carlsbad,nm,eddy
carroll county times,westminster,md,carroll
casper star-tribune,casper,wy,natrona
centre daily times,state college,pa,centre
charlotte observer,charlotte,nc,mecklenburg
chattanooga times free press,chattanooga,tn,hamilton
chicago sun-times,chicago,il,cook
chicago tribune,chicago,il,cook
chowchilla news,chowchilla,ca,madera
citrus county chronicle,crystal river,fl,citrus
columbia daily tribune,columbia,mo,boone
columbian,vancouver,wa,clark
columbus dispatch,columbus,oh,franklin
commercial appeal,memphis,tn,shelby
connecticut post,fairfield county (bridgeport p.o.),ct,fairfield
corpus christi caller-times,corpus christi,tx,nueces
corvallis gazette-times,corvallis,or,benton
courier,houma,la,terrebonne
culpeper star-exponent,culpeper,va,culpeper
cumberland times news,cumberland,md,allegany
daily chronicle,dekalb,il,dekalb
daily citizen,beaver dam,wi,dodge
daily comet,thibodaux,la,lafourche
daily commercial,leesburg,fl,lake
"daily freeman, sunday freeman",kingston,ny,ulster
daily gazette,schenectady,ny,schenectady
daily gazette & sauk valley weekend,sterling-rock falls,il,whiteside
daily herald,provo,ut,utah
"daily herald, the sunday herald",arlington heights,il,cook
daily item,sunbury,pa,northumberland
daily local news,west chester,pa,chester
daily mountain eagle,jasper,al,walker
daily news,new york,ny,new york
daily news,longview,wa,cowlitz
daily news,newburyport,ma,essex
daily news-record,harrisonburg,va,none
daily progress,charlottesville,va,none
daily record,wooster,oh,wayne
daily star,oneonta,ny,otsego
daily telegram,adrian,mi,lenawee
daily times,farmington,nm,san juan
daily tribune news,cartersville,ga,bartow
dallas morning news,dallas,tx,dallas
danville register & bee,danville,va,none
day,new london,ct,new london
dayton daily news,dayton,oh,montgomery
daytona beach news-journal,daytona beach,fl,volusia
decatur daily,decatur,al,morgan
delaware county daily times,primos/upper darby,pa,delaware
dispatch,lexington,nc,davidson
dominion post,morgantown,wv,monongalia
dothan eagle,dothan,al,houston
eagle,bryan-college station,tx,brazos
eagle tribune,north andover,ma,essex
el dorado news-times,el dorado,ar,union
el nuevo dia,san juan,pr,san juan
el nuevo herald,miami,fl,miami-dade
el paso times,el paso,tx,el paso
enid news and eagle,enid,ok,garfield
enterprise sunday enterprise,brockton,ma,plymouth
erie times-news,erie,pa,erie
evansville courier & press,evansville,in,vanderburgh
express times,easton,pa,northampton
fayetteville observer,fayetteville,nc,cumberland
flint journal,flint,mi,genesee
florida times-union,jacksonville,fl,duval
fort worth star-telegram,fort worth,tx,tarrant
fort worth star-telegram - arlington citizen-journal,fort worth,tx,tarrant
fort worth star-telegram - la estrella en casa,fort worth,tx,tarrant
fort worth star-telegram - mansfield news-mirror,fort worth,tx,tarrant
fort worth star-telegram - the keller citizen,fort worth,tx,tarrant
fort worth star-telegram - weatherford telegram,fort worth,tx,parker
frederick news-post,frederick,md,frederick
free lance-star,fredericksburg,va,none
fresno bee,fresno,ca,fresno
gainesville sun,gainesville,fl,alachua
garden island,lihue,hi,kauai
gaston gazette,gastonia,nc,gaston
gazette,cedar rapids-marion,ia,linn
gazette,colorado springs,co,el paso
gleaner,henderson,ky,henderson
"globe-gazette, sunday globe",mason city,ia,cerro gordo
gloucester daily times,gloucester,ma,essex
grand rapids press,grand rapids,mi,kent
"greenwich time, the sunday greenwich time",greenwich,ct,fairfield
greenwood commonwealth,greenwood,ms,leflore
hanford sentinel,hanford,ca,kings
hartford courant,hartford,ct,hartford
herald,sharon-farrell-sharpsville-hermitage,pa,mercer
herald,rock hill,sc,york
herald & review,decatur,il,macon
herald news,fall river,ma,bristol
herald-dispatch,huntington,wv,cabell
herald-journal,spartanburg,sc,spartanburg
herald-republican,angola,in,steuben
herald-standard,uniontown,pa,fayette
holland sentinel,holland,mi,ottawa
honolulu star-advertiser,honolulu,hi,honolulu
houston chronicle,houston,tx,harris
houston chronicle - la voz de houston,houston,tx,harris
hunterdon county democrat,flemington,nj,hunterdon
huntsville times,huntsville,al,madison
idaho statesman,boise,id,ada
